City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Mae Ramat,TH,16.984,98.5166,81.81,51,11,1.12,few clouds
322,Zyryanka,RU,65.75,150.85,-20.47,99,99,1.45,overcast clouds
323,Storsteinnes,NO,69.2408,19.2344,34.45,99,100,3.27,light snow
324,Viedma,AR,-40.8135,-62.9967,55.76,80,100,5.28,overcast clouds
325,Mackenzie,CA,55.2999,-123.1698,25.02,86,100,5.75,light snow
326,Vostok,RU,46.4856,135.8833,35.19,72,96,4.36,snow
327,Townsville,AU,-19.25,146.8,85.08,45,0,14.97,clear sky
328,Coquimbo,CL,-29.9533,-71.3436,56.93,88,0,2.3,clear sky
329,Saint-Paul,RE,-21.0096,55.2707,78.91,97,38,2.28,scattered clouds
330,Leshan,CN,29.5623,103.7639,58.87,66,100,1.86,overcast clouds
331,Hambantota,LK,6.1241,81.1185,81.73,72,77,10.69,broken clouds
332,Laguna,US,38.421,-121.4238,52.32,81,0,0.0,clear sky
333,Bridgewater,CA,44.3835,-64.5155,58.1,94,100,6.91,light rain
334,Yakeshi,CN,49.2833,120.7333,18.43,73,5,4.14,clear sky
335,Barma,SL,8.35,-11.3333,70.21,99,60,1.14,broken clouds
336,Ranong,TH,9.9658,98.6348,82.33,68,100,5.44,moderate rain
337,Del City,US,35.442,-97.4409,33.82,86,100,8.05,snow
338,Carmen,MX,18.6333,-91.8333,80.64,78,0,8.05,clear sky
339,Mengcheng,CN,33.2579,116.5655,65.66,53,94,15.35,overcast clouds
340,Point Fortin,TT,10.1833,-61.6833,76.89,84,63,9.57,broken clouds
341,Vadodara,IN,22.3,73.2,73.36,68,0,2.3,haze
342,Lavrentiya,RU,65.5833,-171.0,16.95,77,3,9.22,clear sky
343,Moissac,FR,44.1024,1.0945,59.47,91,2,7.76,clear sky
344,Ciudad Bolivar,VE,8.1222,-63.5497,77.2,86,100,8.48,overcast clouds
345,Aljezur,PT,37.3191,-8.8033,60.64,70,0,3.87,clear sky
